Recipe,Description,Ingredients,,,,,,,,Steps,,,,,Difficulty,French Description,Type de description,eng text length,fr text length,donné par,ocurrence,Ingredients for Planning,First day of appearance
Natural Energy Drink,[placeholder en attendant de trouver en fr] Natural Energy Drink,1,Raspberry,1,Catnip,1,Gleamberries,1,Twilight Pearl,Add to Cauldron,Cut and Add to Cauldron,Add to Cauldron,Add to Cauldron,,2,,,64,0,,3,"Raspberry, Catnip, Gleamberries, Twilight Pearl",Day 8
Bubbling Ointment,[placeholder en attendant de trouver en fr] Bubbling Ointment,2,Jade Shroom,1,Bubblefoam,,,,,High Heat Bellows,Cut and Add to Cauldron,Low Heat Bellows,Add to Cauldron,,2,Lotion / Baume soin,,61,19,,1,"Jade Shroom, Bubblefoam",Day 9
Soothing Tonic,[to do] Soothing tonic,1,Bubblefoam,1,Water Mushroom,1,Umbrella Lily Flower,,,Add to Cauldron,Medium Heat Bellows,Cut and Add to Cauldron,Low Heat Bellows,Cut and Add to Cauldron,3,Un doux breuvage guérissant des coups de froids. Aussi utile pour calmer les maux de gorges et soigner les nez bouchées. ,Explicatif. Pratique.,22,121,,1,"Bubblefoam, Water Mushroom, Umbrella Lily Flower",Day 9
Condensed Grass,[placeholder] Condensed Grass,1,Crocodile Tail Grass,1,Verdant Moss,1,Catnip,1,Fern Celery,Cut and Add to Cauldron,Add to Cauldron,High Heat Bellows,Add to Cauldron,Cut and Add to Cauldron,3,,,29,0,,2,"Crocodile Tail Grass, Verdant Moss, Catnip, Fern Celery",
Lucky Stardrops,[placeholder en attendant de trouver en fr] Lucky Star ?,2,Starlight Mushroom,1,Crocodile Tail Grass,1,Vine Bean,,,Cut and Add to Cauldron,High Heat Bellows,Cut and Add to Cauldron,Medium Heat Bellows,Add to Cauldron,3,Porte chance,,56,12,,2,"Starlight Mushroom, Crocodile Tail Grass, Vine Bean",
Forest Colors,[placeholder] Forest Colors,2,Mooncurrant,1,Twilight Pearl,1,Verdant Moss,,,High Heat Bellows,Add to Cauldron,Add to Cauldron,Add to Cauldron,,3,,,27,0,,3,"Mooncurrant, Twilight Pearl, Verdant Moss",
Fruity Tonus,[placeholder] Fruity Tonus,1,Gleamberries,1,Water Mushroom,1,Brown Cap,1,Raspberry,Grind and Add to Cauldron,Add to Cauldron,Cut and Add to Cauldron,Add to Cauldron,,4,Faire pousser des plantes même en condition aride ? ,,26,52,,1,"Gleamberries, Water Mushroom, Brown Cap, Raspberry",
Shades of Woods,[placeholder] Shades of Woords,1,Verdant Moss,1,Woods Cushion,1,Earthy Carrot,,,Add to Cauldron,Grind and Add to Cauldron,Add to Cauldron,,,2,Soin puissant,,30,13,,2,"Verdant Moss, Woods Cushion, Earthy Carrot",
Panacream,[placeholder] Panacream,1,Starlight Mushroom,2,Raspberry,2,Catnip,,,Cut and Add to Cauldron,Medium Heat Bellows,Add to Cauldron,Add to Cauldron,Low Heat Bellows,3,Colle ?,,23,7,,1,"Starlight Mushroom, Raspberry, Catnip",
Fruity Extract,[placeholder] Fruity Extract,2,Gleamberries,2,Brown Cap,1,Raspberry,,,Medium Heat Bellows,Grind and Add to Cauldron,High Heat Bellows,Add to Cauldron,Grind and Add to Cauldron,3,,,28,0,,1,"Gleamberries, Brown Cap, Raspberry",
Sapglue,[placeholder] Sapglue,1,Indigo Carpet,2,Umbrella Lily,2,Crocodile Tail Grass,,,Grind and Add to Cauldron,Low Heat Bellows,Add to Cauldron,Cut and Add to Cauldron,,4,,,21,0,,1,"Indigo Carpet, Umbrella Lily, Crocodile Tail Grass",
Crystal Dust,[placeholder] Crystal Dust,2,Crystalspore,1,Mooncurrant,,,,,Cut and Add to Cauldron,High Heat Bellows,Grind and Add to Cauldron,Low Heat Bellows,,4,,,26,0,,1,"Crystalspore, Mooncurrant",
Hue-nique,[placeholder] Hue-nique,2,Cragberry,1,Crystalspore,1,Lantern Gourd,,,Medium Heat Bellows,Add to Cauldron,Cut and Add to Cauldron,Add to Cauldron,,4,,,23,0,,1,"Cragberry, Crystalspore, Lantern Gourd",
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
