Recipe,Description,Ingredients,,,,,,,,Steps,,,,,Difficulty,French Description,Type de description,eng text length,fr text length,donné par,ocurrence,Ingredients for Planning,First day of appearance
Natural Energy Drink,[placeholder en attendant de trouver en fr] Natural Energy Drink,1,Raspberry,1,Catnip,1,Gleamberries,1,Twilight Pearl,Add to Cauldron,Cut and Add to Cauldron,Add to Cauldron,Add to Cauldron,,2,,,64,0,,2,"Raspberry, Catnip, Gleamberries, Twilight Pearl",Day 8
Bubbling Ointment,[placeholder en attendant de trouver en fr] Bubbling Ointment,2,Jade Shroom,1,Bubblefoam,,,,,High Heat Bellows,Cut and Add to Cauldron,Low Heat Bellows,Add to Cauldron,,2,Lotion / Baume soin,,61,19,,1,"Jade Shroom, Bubblefoam",Day 9
Soothing Tonic,[to do] Soothing tonic,2,Mooncurrant,1,Water Mushroom,1,Fern Celery,,,Add to Cauldron,Medium Heat Bellows,Cut and Add to Cauldron,Low Heat Bellows,Cut and Add to Cauldron,3,Un doux breuvage guérissant des coups de froids. Aussi utile pour calmer les maux de gorges et soigner les nez bouchées. ,Explicatif. Pratique.,22,121,,1,"Mooncurrant, Water Mushroom, Fern Celery",Day 9
Lush Patch,[to do] Lush Patch ?,2,Crocodile Tail Grass,1,Brown Cap,1,Woods Cushion,,,Medium Heat Bellows,Add to Cauldron,Cut and Add to Cauldron,Add to Cauldron,,3,Faire pousser des plantes même en condition aride ? ,,20,52,,0,"Crocodile Tail Grass, Brown Cap, Woods Cushion",
Lucky Star,[to do] Lucky Star ?,2,Starlight Mushroom,1,Catnip,1,Mooncurrant,,,Cut and Add to Cauldron,High Heat Bellows,Cut and Add to Cauldron,Medium Heat Bellows,Add to Cauldron,3,Porte chance,,20,12,,0,"Starlight Mushroom, Catnip, Mooncurrant",
Panacream,[to do] Lucky Star ?,1,Woods Cushion,1,Bubblefoam,,,,,Grind and Add to Cauldron,Grind and Add to Cauldron,,,,3,Soin puissant,,20,13,,0,"Woods Cushion, Bubblefoam",
Fruity Glue ,[to do] Fruity Glue ?,2,Gleamberries,1,Raspberry,1,Umbrella Lily,1,Verdant Moss,Grind and Add to Cauldron,Add to Cauldron,High Heat Bellows,Cut and Add to Cauldron,Add to Cauldron,3,Colle ?,,21,7,,0,"Gleamberries, Raspberry, Umbrella Lily, Verdant Moss",Day 11
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
