Ingredient,Ingredient Type,Description,Weather,Lunar Cycle,Biomes,Places to spawn,Availbale Areas,French Description,Available Areas Debug Zone,,,,,Occurence brute,Occurence pondérée (nb),Occurence pondérée (%),nb car (fr),nb car (en),occurence in recipes,occurence * utilisations in recipes,occurence in planning,équilibrage à la mano
Starlight Mushroom,Mushroom,[placeholder en attendant de trouver en fr] ,"Sun, Cloud, Rain",Shooting Stars,Forest,Base Of Giant Tree,Giant Tree,Un champignon scintillant. il procure une énergie?,,,Giant Tree,,,3,3,13%,50,44,1,2,0,
Mooncurrant,Berry,[placeholder en attendant de trouver en fr] ,"Sun, Cloud, Rain","Half Moon, Full Moon",Forest,Exposed Roots,Giant Tree,placeholder Mooncurrant,,,Giant Tree,,,6,18,75%,23,44,2,3,1,
Crocodile Tail Grass,Herb,[placeholder en attendant de trouver en fr] ,"Cloud, Rain","New Moon, Half Moon, Full Moon",Forest,Base Of Giant Tree,Giant Tree,placeholderCrocodile ,,,Giant Tree,,,6,14,58%,21,44,1,2,0,
Bubblefoam,Moss,[placeholder en attendant de trouver en fr] ,"Sun, Rain","New Moon, Half Moon, Full Moon, Shooting Stars",Forest,Exposed Roots,Giant Tree,placeholder Bubble foam,,,Giant Tree,,,8,16,67%,23,44,2,2,1,
Crystalspore,Mushroom,With its appearance you'd figure it would be much heavier than it actually is. It is adorned with incredibly tough crystals,"Sun, Cloud, Rain",Half Moon,Forest,Tree Stump,Rock Maze,Un champignon étonnamment léger. Les cristaux qui poussent dessus sont incroyablement durs.,,,,Rock Maze,,3,12,50%,91,123,0,0,0,
Indigo Carpet,Moss,[placeholder en attendant de trouver en fr] ,"Sun, Rain","Half Moon, Full Moon",Forest,Gravel,Rock Maze,Un amas de verdure à l'allure étrangère. ?,,,,Rock Maze,,4,8,33%,42,44,0,0,0,
Mistbell,Herb,[placeholder en attendant de trouver en fr] ,"Sun, Cloud, Rain","New Moon, Shooting Stars",Forest,Base Of Rock Wall,Rock Maze,"Des petites fleurs blanches. En les agitant, elles produisent un doux son comme un carillon?",,,,Rock Maze,,6,6,25%,92,44,0,0,0,
Soft-rock sponge,Moss,[placeholder en attendant de trouver en fr] ,Cloud,"New Moon, Half Moon, Full Moon, Shooting Stars",Forest,Tree Stump,Rock Maze,placeholder Soft rock,,,,Rock Maze,,4,8,33%,21,44,0,0,0,
Cragberry,Berry,[placeholder en attendant de trouver en fr] ,"Sun, Rain","New Moon, Full Moon, Shooting Stars",Forest,"Gravel, Base Of Rock Wall",Rock Maze,placeholder Cragberty,,,,Rock Maze,,6,8,33%,21,44,0,0,0,
Earthy Carrot,Vegetable,[placeholder en attendant de trouver en fr] ,,,,,,,,,,,,,,,,,1,1,-1,2
Fern Celery,Vegetable,[placeholder en attendant de trouver en fr] ,,,,,,,,,,,,,,,,,2,2,1,1
Lantern Gourd,Vegetable,[placeholder en attendant de trouver en fr] ,,,,,,,,,,,,,,,,,0,0,0,
Soft Potato,Vegetable,[placeholder en attendant de trouver en fr] ,,,,,,,,,,,,,,,,,0,0,0,
Vine Bean,Vegetable,[placeholder en attendant de trouver en fr] ,,,,,,,,,,,,,,,,,0,0,0,
