Recipe,Description,Ingredients,,,,,,,,Steps,,,,,Difficulty,French Description,Type de description,eng text length,fr text length,donné par,ocurrence,Ingredients for Planning,First day of appearance
Natural Energy Drink,[placeholder en attendant de trouver en fr] Natural Energy Drink,1,Raspberry,1,Catnip,1,Gleamberries,1,Twilight Pearl,Add to Cauldron,Cut and Add to Cauldron,Add to Cauldron,Add to Cauldron,,2,,,64,0,,2,"Raspberry, Catnip, Gleamberries, Twilight Pearl",Day 8
Bubbling Ointment,[placeholder en attendant de trouver en fr] Bubbling Ointment,2,Jade Shroom,1,Bubblefoam,,,,,High Heat Bellows,Cut and Add to Cauldron,Low Heat Bellows,Add to Cauldron,,2,Lotion / Baume soin,,61,19,,1,"Jade Shroom, Bubblefoam",Day 9
Soothing Tonic,[to do],2,Mooncurrant,1,Water Mushroom,1,Fern Celery,,,Add to Cauldron,Medium Heat Bellows,Cut and Add to Cauldron,Low Heat Bellows,Cut and Add to Cauldron,3,Un doux breuvage guérissant des coups de froids. Aussi utile pour calmer les maux de gorges et soigner les nez bouchées. ,Explicatif. Pratique.,7,121,,1,"Mooncurrant, Water Mushroom, Fern Celery",Day 9
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
,,,,,,,,,,,,,,,,,,0,0,,0,#N/A,/
